popularity_rank,returned_spotify_id,spotify_name,wikidata_qid,followers,monthly_listeners,enwiki_title,pageview_status,pageviews_total,pageview_months,mapping_tier,fua_code,study_city_label,mapped_fua,log10_followers,log10_pageviews,expected_log10_pageviews,attention_residual_log10,follower_rank,pageview_rank
620,3TBfn8PtXr42OrTPaoC3E8,The Futureheads,Q141703,108938,175654,The Futureheads,ok,24852,12,strict,UK510F,Sunderland,True,5.037179397768975,4.395361344941078,4.635306442035614,-0.23994509709453649,549.0,677.0
621,3MomZRiJwdZmYnysgtF4Ey,Therapy?,Q1130493,123041,175573,Therapy?,ok,58869,12,excluded_no_defensible_fua,,,False,5.090049852144588,4.7698866585712905,4.673113094974652,0.09677356359663847,526.0,491.0
622,0PFM64sKw3GG4Sk8kqNIcp,Until The Ribbon Breaks,Q19881622,44423,174393,Until the Ribbon Breaks,ok,2983,12,strict,UK009F,Cardiff,True,4.6476078842316175,3.474653253362063,4.356731287326215,-0.8820780339641523,758.0,896.0
623,3mbVe260Kgvs1P8YFcCyY7,The Seahorses,Q7762808,134499,173184,The Seahorses,ok,44777,12,strict,UK533F,York,True,5.1287190553711675,4.6510549930596605,4.700764704235093,-0.049709711175432325,505.0,563.0
624,2Ah7S4oLgEBYRbz2V0cZzU,Lawson,Q1076,182546,172494,Lawson (band),ok,18893,12,excluded_no_defensible_fua,,,False,5.261372321005493,4.276300924570774,4.795622522922201,-0.5193215983514277,429.0,730.0
625,7hC74DRW4q3obXLB5lTq4F,swim school,Q112039696,31979,172006,Swim School,ok,16288,12,excluded_no_defensible_fua,,,False,4.50486487900771,4.211867760656665,4.254658488412182,-0.04279072775551729,810.0,757.0
626,57YVY9QP1mhqc51WqHln0e,Tom Robinson Band,Q526586,37011,171964,Tom Robinson Band,ok,39985,12,strict,UK001F,London,True,4.5683308194537915,4.601897100353281,4.300041771234911,0.30185532911837054,791.0,585.0
627,5BEYGWk6aPdNXxBx9pwU8S,The Soup Dragons,Q3066755,50553,171856,The Soup Dragons,ok,46430,12,strict,UK004F,Glasgow,True,4.703746933315467,4.666798683666174,4.39687524996293,0.26992343370324434,733.0,555.0
628,37QFe07xXVifiZf6t6t3PE,The Corries,Q1349385,37863,171307,The Corries,ok,41801,12,strict,UK007F,Edinburgh,True,4.578215021456321,4.621186671470898,4.307109775455835,0.31407689601506306,786.0,576.0
629,6XgIk9Y6qy6JCMZVime6DQ,Bob Vylan,Q111685240,188980,171179,Bob Vylan,ok,731108,12,strict,UK001F,London,True,5.276415844653449,5.8639815361090735,4.806379859590766,1.0576016765183072,421.0,51.0
